Timestamp,CPU,Memory,IO
2025-04-14 12:51:25,some avg10=14.11 avg60=9.96 avg300=3.09 total=22442216926,"some avg10=0.07 avg60=0.09 avg300=0.07 total=45054847
full avg10=0.07 avg60=0.07 avg300=0.06 total=31631416","some avg10=0.93 avg60=2.06 avg300=1.15 total=4191403538
full avg10=0.46 avg60=1.21 avg300=0.81 total=2195875751"
2025-04-14 12:51:26,some avg10=13.36 avg60=9.96 avg300=3.14 total=22442455461,"some avg10=0.05 avg60=0.08 avg300=0.07 total=45054847
full avg10=0.05 avg60=0.07 avg300=0.06 total=31631416","some avg10=0.76 avg60=2.00 avg300=1.14 total=4191403538
full avg10=0.38 avg60=1.17 avg300=0.81 total=2195875751"
2025-04-14 12:51:27,some avg10=13.36 avg60=9.96 avg300=3.14 total=22442681600,"some avg10=0.05 avg60=0.08 avg300=0.07 total=45054847
full avg10=0.05 avg60=0.07 avg300=0.06 total=31631416","some avg10=0.76 avg60=2.00 avg300=1.14 total=4191403840
full avg10=0.38 avg60=1.17 avg300=0.81 total=2195876047"
2025-04-14 12:51:28,some avg10=13.66 avg60=10.13 avg300=3.22 total=22442707796,"some avg10=0.04 avg60=0.08 avg300=0.06 total=45054847
full avg10=0.04 avg60=0.06 avg300=0.06 total=31631416","some avg10=0.62 avg60=1.93 avg300=1.13 total=4191415712
full avg10=0.31 avg60=1.13 avg300=0.80 total=2195887399"
2025-04-14 12:51:29,some avg10=13.66 avg60=10.13 avg300=3.22 total=22442784984,"some avg10=0.04 avg60=0.08 avg300=0.06 total=45054847
full avg10=0.04 avg60=0.06 avg300=0.06 total=31631416","some avg10=0.62 avg60=1.93 avg300=1.13 total=4191415955
full avg10=0.31 avg60=1.13 avg300=0.80 total=2195887586"
2025-04-14 12:51:30,some avg10=13.36 avg60=10.19 avg300=3.28 total=22443022780,"some avg10=0.03 avg60=0.08 avg300=0.06 total=45054847
full avg10=0.03 avg60=0.06 avg300=0.06 total=31631416","some avg10=0.51 avg60=1.87 avg300=1.12 total=4191415955
full avg10=0.25 avg60=1.09 avg300=0.80 total=2195887586"
2025-04-14 12:51:31,some avg10=13.36 avg60=10.19 avg300=3.28 total=22443146465,"some avg10=0.03 avg60=0.08 avg300=0.06 total=45054847
full avg10=0.03 avg60=0.06 avg300=0.06 total=31631416","some avg10=0.51 avg60=1.87 avg300=1.12 total=4191416226
full avg10=0.25 avg60=1.09 avg300=0.80 total=2195887586"
2025-04-14 12:51:32,some avg10=12.93 avg60=10.21 avg300=3.33 total=22443185857,"some avg10=0.03 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.03 avg60=0.06 avg300=0.06 total=31631416","some avg10=0.41 avg60=1.80 avg300=1.11 total=4191416226
full avg10=0.20 avg60=1.06 avg300=0.79 total=2195887586"
2025-04-14 12:51:33,some avg10=12.93 avg60=10.21 avg300=3.33 total=22443353460,"some avg10=0.03 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.03 avg60=0.06 avg300=0.06 total=31631416","some avg10=0.41 avg60=1.80 avg300=1.11 total=4191432948
full avg10=0.20 avg60=1.06 avg300=0.79 total=2195887993"
2025-04-14 12:51:34,some avg10=13.12 avg60=10.34 avg300=3.41 total=22443529436,"some avg10=0.02 avg60=0.07 avg300=0.06 total=45054847
full avg10=0.02 avg60=0.06 avg300=0.05 total=31631416","some avg10=0.34 avg60=1.75 avg300=1.11 total=4191433164
full avg10=0.17 avg60=1.02 avg300=0.78 total=2195887993"
